locationId,name,continent,movie,tvSeries,comic,game,oneShot,affiliation,continent
1,10th Precinct Police Station,"New York City, New York",,['The Punisher (Front Toward Enemy)'],,,,['New York City Police Department'],North America
2,1337 Connect,"Munich, Germany",,"['The Falcon and The Winter Soldier (The Star-Spangled Man)', 'The Falcon and The Winter Soldier (Power Broker)']",,,,,Europe
3,15th Precinct Police Station,"311 W 37th St., New York City, New York",,"['Daredevil (Jessica Jones)', 'Daredevil (The Punisher)']",,,,['New York City Police Department'],North America
4,29th Precinct Police Station,"Harlem, New York City, New York",,"['Luke Cage (Iron Fist)', 'Luke Cage (The Defenders)']",,,,['New York City Police Department'],North America
5,30 Rockefeller Plaza,"Rockefeller Center, New York City, New York",['Spider-Man: No Way Home'],Hawkeye,,['The Incredible Hulk'],,,North America
6,30 St Mary Axe,"London, England","['Thor: The Dark World', 'Eternals']",,,,,,Europe
7,4th Precinct Police Station,"New York City, New York",,['Agents of S.H.I.E.L.D. (The New Deal)'],,,,['New York City Police Department'],North America
8,7th Street Metro Center Station,"Los Angeles, California",['Captain Marvel'],,,,,,North America
9,A'askavariia,,['Guardians of the Galaxy Vol. 2'],,,,,,
10,A.B.C. Chinese Restaurant,"Karachi, Sindh",,"['Ms. Marvel (Seeing Red)', 'Ms. Marvel (No Normal)']",,,,,Asia
11,A.S. Memorial Medical Center,"Los Angeles, California",,"['Runaways (Rock Bottom)', 'Runaways (Bury Another)', 'Runaways (Past Life)']",,,,,North America
12,Aadam's House,"Jersey City, New Jersey",,['Ms. Marvel (Destined)'],,,,['Clandestines'],North America
13,Aakon,,['Guardians of the Galaxy Vol. 2'],,,,,,
14,Aaron's Market,United States of America,,"['Agents of S.H.I.E.L.D. (Devils You Know)', 'Agents of S.H.I.E.L.D. (Among Us Hide...)', 'Agents of S.H.I.E.L.D. (Chaos Theory)']",,,,,North America
15,Aaru,Duat,,Moon Knight,,,,,
16,Abandoned Building,"New York City, New York",,['Daredevil (Condemned)'],,,,,North America
17,Abandoned Warehouse,"New York City, New York",,"['The Punisher (Cold Steel)', 'The Punisher (Virtue of the Vicious)']",,,,,North America
18,Abe Lebewhol Park,"New York City, New York",,['Daredevil (Into the Ring)'],,,,,North America
19,Abidjan,Ivory Coast,['The Avengers'],,['Captain America: Civil War Prelude Infinite Comic'],,,,Africa
20,Accra,Ghana,,,['Captain America: Civil War Prelude Infinite Comic'],,,,Africa
21,Actiniaria Dimension,Multiverse,['Doctor Strange'],,,,,,
22,Addis Ababa,Ethiopia,,['Agents of S.H.I.E.L.D. (The Man Behind the Shield)'],,,,,Africa
23,Aden,Yemen,,,"['Iron Man 2: Nick Fury: Director of S.H.I.E.L.D.', 'Iron Man 2: Public Identity']",,,,Asia
24,Adrian Toomes' Headquarters,"New York City, New York",['Spider-Man: Homecoming'],,['Spider-Man: Far From Home Prelude'],,,,North America
25,Afghanistan,Earth,"['Iron Man', 'Iron Man 2', 'Thor', 'Iron Man 3', 'Avengers: Age of Ultron', 'Captain America: The Winter Soldier', 'Black Panther']","['Agents of S.H.I.E.L.D. (Daredevil)', 'Agents of S.H.I.E.L.D. (Inhumans)', 'Agents of S.H.I.E.L.D. (The Punisher)', 'Agents of S.H.I.E.L.D. (The Falcon and The Winter Soldier)', 'Agents of S.H.I.E.L.D. (What If...?)']","['Iron Man: Fast Friends', 'Iron Man: Security Measures', 'Iron Man: I Am Iron Man!', 'Iron Man 2: Public Identity', 'The Avengers: Iron Man Mark VII', 'The Avengers Prelude: Black Widow Strikes', 'The Avengers: The Avengers Initiative', 'Iron Man 3 Prelude', 'Captain America: Civil War Prelude']",['Iron ManIron Man 3 - The Official Game'],,,Asia
26,Africa,Earth,"['Captain America: The First Avenger', 'Captain America: The Winter Soldier', 'Avengers: Age of Ultron', 'Captain America: Civil War', 'Black Panther', 'Avengers: Infinity War', 'Captain Marvel', 'Avengers: Endgame', 'Spider-Man: Far From Home', 'Black Widow', 'Black Panther: Wakanda Forever']","['Agents of S.H.I.E.L.D. (Luke Cage)', 'Agents of S.H.I.E.L.D. (Runaways)', 'Agents of S.H.I.E.L.D. (WandaVision)', 'Agents of S.H.I.E.L.D. (The Falcon and The Winter Soldier)', 'Agents of S.H.I.E.L.D. (Loki)', 'Agents of S.H.I.E.L.D. (What If...?)', 'Agents of S.H.I.E.L.D. (Moon Knight)', 'Agents of S.H.I.E.L.D. (Wakanda)']","['Iron Man 2: Public Identity', 'Captain America: First Vengeance', 'Iron Man 3 Prelude', 'Avengers: Operation HYDRA', 'Captain America: Civil War Prelude Infinite Comic', 'Spider-Man: Homecoming Prelude', 'Black Panther Prelude', 'Avengers: Infinity War Prelude', 'Avengers: Endgame Prelude', 'Black Widow Prelude']",,,,
27,Afterlife,Nepal,,Agents of S.H.I.E.L.D.,,,,,Asia
28,Aix-en-Provence,France,,['Loki (Glorious Purpose)'],,,,,Europe
29,Ajak's Homestead,"South Dakota, United States of America",['Eternals'],,,,,,North America
30,Akron,"Ohio, United States of America",,['Jessica Jones (AKA Freak Accident)'],,,,,North America
31,Al and Cam's Arcade,"Duxbury, Massachusetts",,['Agents of S.H.I.E.L.D. (Hot Potato Soup)'],,,,,North America
32,Al-Kut,Iraq,,,['Iron Man 2: Public Identity'],,,,Asia
33,Alabama,United States of America,['Captain Marvel'],['The Punisher (Loki)'],,,,,North America
34,Aladna,,,['Loki (The Nexus Event)'],,,,,
35,Alamogordo,"New Mexico, United States of America",['Captain America: The First Avenger'],,['Captain America: The First Avenger Adaptation'],,,,North America
36,Alaska,United States of America,"['The Incredible Hulk', 'deleted scene', 'Eternals']","['Agents of S.H.I.E.L.D. (T.R.A.C.K.S.)', 'Agents of S.H.I.E.L.D. (The Man Behind the Shield)', 'Agents of S.H.I.E.L.D. (Runaways)', 'Agents of S.H.I.E.L.D. (Split Up)']",,,,,North America
37,Albania,Earth,,"['Agents of S.H.I.E.L.D. (Many Heads, One Tale)']",,,,,Europe
38,Albany,"New York, United States of America","['The Avengers', 'Black Widow']","['Agents of S.H.I.E.L.D. (The New Deal)', 'Agents of S.H.I.E.L.D. (The Punisher)', 'Agents of S.H.I.E.L.D. (Cold Steel)']",,,,,North America
39,Albert Thompson's Apartment,"New York City, New York",,"['Jessica Jones (AKA Sin Bin)', 'Jessica Jones (AKA Take a Bloody Number)']",,,,,North America
40,Alberta,Canada,,['Loki (The Nexus Event)'],,,,,North America
41,Albuquerque,"New Mexico, United States of America",,"['Agents of S.H.I.E.L.D. (Many Heads, One Tale)']",,,,,North America
42,Alcatraz Federal Penitentiary,"Alcatraz Island, California",['Shang-Chi and the Legend of the Ten Rings'],['Agent Carter (Time and Tide)'],,,,,North America
43,Alcatraz Island,"California, United States of America",['Shang-Chi and the Legend of the Ten Rings'],['Agent Carter (Time and Tide)'],,,,,North America
44,Aldrich Killian's Mansion,"Miami, Florida",['Iron Man 3'],,['Captain America: Civil War Prelude'],,,['A.I.M.'],North America
45,Aleppo,Syria,,"['Jessica Jones (AKA Shark in the Bathtub, Monster in the Bed)']",,,,,Asia
46,Aleppo Citadel,"Aleppo, Syria",,"['Jessica Jones (AKA Shark in the Bathtub, Monster in the Bed)']",,,,,Asia
47,Alexander Hamilton Bridge,"New York City, New York",['Spider-Man: No Way Home'],,,,,,North America
48,Alexander Pierce High School,"Washington, D.C.",,"['Agents of S.H.I.E.L.D. (Self Control)', 'Agents of S.H.I.E.L.D. (What If...)', 'Agents of S.H.I.E.L.D. (Identity and Change)']",,,,['HYDRA'],North America
49,Alexander Pierce's Residence,"Washington, D.C.",['Captain America: The Winter Soldier'],,['Captain America: Civil War Prelude'],,,,North America
50,Alexandria (Egypt),Egypt,,['Loki (Journey Into Mystery)'],,,,,Africa
51,Alexandria (Virginia),"Virginia, United States of America",,['Agents of S.H.I.E.L.D. (Shadows)'],,,,,North America
52,Alfheim,Nine Realms,"['Thor', 'Thor: The Dark World']",,,,,,
53,Algeria,Earth,['Captain America: The Winter Soldier'],['The Falcon and The Winter Soldier (Truth)'],,,,,Africa
54,Algiers,Algeria,['Captain America: The Winter Soldier'],['The Falcon and The Winter Soldier (Truth)'],,,,,Africa
55,Alhambra,"California, United States of America",,['Agents of S.H.I.E.L.D. (The Ghost)'],,,,,North America
56,Ali Al Salem Airbase,Kuwait,['Iron Man 3'],,['Captain America: Civil War Prelude'],,,,Asia
57,Alias Investigations Office,"485 W 46th Street[1], New York City, New York",,['Jessica Jones (The Defenders)'],,,,['Alias Investigations'],North America
58,Allentown,"Pennsylvania, United States of America",,,,,['Item 47'],,North America
59,Alpha Star Icarus,,,['What If...? (What If... Thor Were an Only Child?)'],,,,,
60,Alt New York,Multiverse,['Doctor Strange in the Multiverse of Madness'],,,,,,
61,Althing,Asgard,,,,['Thor: God of Thunder'],,,
62,Alya,,,"[""Agents of S.H.I.E.L.D. (What We're Fighting For)""]",,,,,
63,Amanzi Kwakhona Umlambo,Wakanda,['Black Panther'],,,,,,Africa
64,Amazon Rainforest,BoliviaBrazilColombiaEcuadorGuyanaPeruSurinameVenezuela,['Eternals'],['Agents of S.H.I.E.L.D. (Parting Shot)'],,,,,South America
65,Ambergris Caye,Belize,,['Iron Fist (Felling Tree with Roots)'],,,,,North America
66,Amesbury,England,['Thor: The Dark World'],,,,,,Europe
67,Amman,Jordan,,['Agents of S.H.I.E.L.D. (Laws of Nature)'],,,,,Asia
68,Amsterdam,Netherlands,"['Captain America: The First Avenger', 'Captain America: Civil War']","['Jessica Jones (AKA God Help the Hobo)', 'Jessica Jones (The Falcon and The Winter Soldier)', 'Jessica Jones (Truth)']",,,,,Europe
69,Ana Helstrom's Auction House,"San Francisco, California",,Helstrom,,,,,North America
70,Ana's House,,,['Hawkeye (Ronin)'],,,,,
71,Ancient Village,Ta Lo,['Shang-Chi and the Legend of the Ten Rings'],,,,,,
72,Andover,"Massachusetts, United States of America",['The Avengers'],,,,,,North America
73,Andrew Brandt's Apartment,"New York City, New York",,Jessica Jones,,,,,North America
74,Angola,Earth,,"['Agents of S.H.I.E.L.D. (The Man Behind the Shield)', 'Agents of S.H.I.E.L.D. (Daredevil)', 'Agents of S.H.I.E.L.D. (Kinbaku)']",,,,,Africa
75,Ankara,,,"[""What If...? (What If... T'Challa Became a Star-Lord?)""]",,,,,
76,Ann Arbor,"Michigan, United States of America",,"[""Jessica Jones (AKA You're Welcome)""]",,,,,North America
77,Annapolis,"Maryland, United States of America",['Black Panther'],['What If...? (What If... Killmonger Rescued Tony Stark?)'],,,,,North America
78,Antarctica,Earth,"['Captain America: The First Avenger', 'Avengers: Infinity War']","['Agents of S.H.I.E.L.D. (All the Comforts of Home)', 'Agents of S.H.I.E.L.D. (Loki)', 'Agents of S.H.I.E.L.D. (For All Time. Always.)', 'Agents of S.H.I.E.L.D. (What If...?)', ""Agents of S.H.I.E.L.D. (What If... T'Challa Became a Star-Lord?)""]","['Captain America: The First Avenger Adaptation', 'Agents of S.H.I.E.L.D.: The Chase', 'Avengers: Endgame Prelude']",,,,
79,Anvil Headquarters,"New York City, New York",,"['The Punisher (Resupply)', 'The Punisher (Memento Mori)']",,,,['Anvil'],North America
80,Anvil Studios,"Los Angeles, California",,['Agent Carter (Monsters)'],,,,,North America
81,Anvil Training Facility,"New York City, New York",,['The Punisher (Two Dead Men)'],,,,['Anvil'],North America
82,Anwar Grocery,"New York City, New York",,"['Jessica Jones (AKA Ladies Night)', ""Jessica Jones (AKA It's Called Whiskey)""]",,,,,North America
83,Anzhou,China,,Iron Fist,,,,,Asia
84,Apartment 412,"10th and 54th St., New York City, New York",,"['Daredevil (Cut Man)', 'Daredevil (In the Blood)']",,,,,North America
85,Apartment 6F,"New York City, New York",,Jessica Jones,,,,,North America
86,Apollo Theater,"New York City, New York",['The Incredible Hulk'],"['Luke Cage (Suckas Need Bodyguards)', 'Luke Cage (Manifest)']",,['The Incredible Hulk'],,,North America
87,Arago-7,,['Guardians of the Galaxy Vol. 2'],,,,,,
88,Aranda de Duero,Spain,,"['Agents of S.H.I.E.L.D. (Scars)', 'Agents of S.H.I.E.L.D. (S.O.S. Part One)']",,,,,Europe
89,Arctic,Northernmost Part of the Earth,"['The Incredible Hulk', 'deleted scene', 'Captain America: The First Avenger']","['Agents of S.H.I.E.L.D. (End of the Beginning)', 'Agents of S.H.I.E.L.D. (The Dirty Half Dozen)', 'Agents of S.H.I.E.L.D. (Agent Carter)', 'Agents of S.H.I.E.L.D. (Valediction)', 'Agents of S.H.I.E.L.D. (Loki)', 'Agents of S.H.I.E.L.D. (For All Time. Always.)', 'Agents of S.H.I.E.L.D. (What If...?)', 'Agents of S.H.I.E.L.D. (What If... Captain Carter Were The First Avenger?)', 'Agents of S.H.I.E.L.D. (What If... The World Lost Its Mightiest Heroes?)']",,['Iron Man'],['Agent Carter (flashback)'],,AsiaNorth AmericaEurope
90,Arctic HYDRA Research Facility,Arctic,,"['Agents of S.H.I.E.L.D. (The Frenemy of My Enemy)', 'Agents of S.H.I.E.L.D. (The Dirty Half Dozen)']",,,,['HYDRA'],
91,Arcturus,,['Guardians of the Galaxy Vol. 2'],,,,,,
92,Area 51,"Nevada, United States of America",['Thor: The Dark World'],"['Agents of S.H.I.E.L.D. (Runaways)', 'Agents of S.H.I.E.L.D. (Moon Knight)']",,,,"['United States Air Force', 'S.H.I.E.L.D.', 'S.H.I.E.L.D.']",North America
93,Arena Club,"Los Angeles, California",,"['Agent Carter (A View in the Dark)', 'Agent Carter (Better Angels)', 'Agent Carter (Smoke & Mirrors)']",,,,['Council of Nine'],North America
94,Argentina,Earth,['Ant-Man and the Wasp'],"['Agents of S.H.I.E.L.D. (Uprising)', 'Agents of S.H.I.E.L.D. (The Patriot)', 'Agents of S.H.I.E.L.D. (Daredevil)', 'Agents of S.H.I.E.L.D. (The Man in the Box)']",,,,,South America
95,Arizona,United States of America,"['Captain America: Civil War', 'Spider-Man: Homecoming', 'Spider-Man: No Way Home']","['Agents of S.H.I.E.L.D. (Iron Fist)', 'Agents of S.H.I.E.L.D. (Runaways)']",['Iron Man: Fast Friends'],,,,North America
96,Arkansas,United States of America,,"['Iron Fist (Felling Tree with Roots)', 'Iron Fist (Loki)', 'Iron Fist (The Nexus Event)']",,,,,North America
97,Arlington,"Virginia, United States of America","['The Incredible Hulk', 'Captain America: The Winter Soldier']","['Agents of S.H.I.E.L.D. (Shadows)', 'Agents of S.H.I.E.L.D. (Agent Carter)', 'Agents of S.H.I.E.L.D. (The Iron Ceiling)', 'Agents of S.H.I.E.L.D. (The Punisher)', 'Agents of S.H.I.E.L.D. (Cold Steel)']","['The Incredible Hulk: The Big Picture', 'Iron Man 3 Prelude', 'Thor: Ragnarok Prelude']",,,,North America
98,Arlington Hall,"Arlington, Virginia",,['Agent Carter (The Iron Ceiling)'],,,,,North America
99,Armenia,Earth,,"['Agents of S.H.I.E.L.D. (The Hub)', 'Agents of S.H.I.E.L.D. (Moon Knight)', 'Agents of S.H.I.E.L.D. (The Goldfish Problem)']",,,,,AsiaEurope
100,Armidale,Australia,,['Iron Fist (Felling Tree with Roots)'],,,,,Oceania
101,Armonk,"New York, United States of America",,['Agent Carter (Bridge and Tunnel)'],,,,,North America
102,Arnsberg,Germany,,['Agents of S.H.I.E.L.D. (The Things We Bury)'],,,,,Europe
103,Arthur Walsh's Residence,"Bensonhurst, Brooklyn, New York City, New York",,['The Punisher (Scar Tissue)'],,,,,North America
104,Asgard,Nine Realms,"['Thor', 'The Avengers', 'Thor: The Dark World', 'Avengers: Age of Ultron', 'Doctor Strange', 'Thor: Ragnarok', 'Avengers: Infinity War', 'Avengers: Endgame', 'Thor: Love and Thunder']","['Agents of S.H.I.E.L.D. (Loki)', 'Agents of S.H.I.E.L.D. (What If...?)', 'Agents of S.H.I.E.L.D. (Moon Knight)', 'Agents of S.H.I.E.L.D. (Ms. Marvel)']","['Thor, The Mighty Avenger', 'Thor: Rescue', 'Thor Adaptation', 'Thor: The Dark World Prelude', 'Thor: Crown of Fools', 'Guardians of the Galaxy Prequel Infinite Comic', 'Thor: Ragnarok Prelude', 'Avengers: Infinity War Prelude', 'Captain Marvel Prelude', 'Avengers: Endgame Prelude']",['Thor: God of ThunderThor: The Dark World - The Official Game'],['Team Thor: Part 1 (mentioned)Team Thor: Part 2 (mentioned)'],,
105,Asgardian Catacombs,"Royal Palace of Valaskjalf, Asgard",['Thor: Ragnarok'],,,,,,
106,Asgardian Dungeons,Asgard,"['Thor: The Dark World', 'Avengers: Endgame']","['Agents of S.H.I.E.L.D. (Yes Men)', 'Agents of S.H.I.E.L.D. (Loki)', 'Agents of S.H.I.E.L.D. (Glorious Purpose)']","['Thor: The Dark World Prelude', 'Thor: Ragnarok Prelude']",['Thor: The Dark World - The Official Game'],,['Einherjar'],
107,Asgardian Gold Mine,Asgard,,,"['Thor, The Mighty Avenger']",,,,
108,Asgardian Theater,Asgard,['Thor: Ragnarok'],['Loki (Glorious Purpose)'],,,,,
109,Ashmyany,Belarus,,['Agent Carter (The Iron Ceiling)'],,,,,Europe
110,Asia,Earth,"['Iron Man', 'Iron Man 2', 'The Avengers', 'Iron Man 3', 'Captain America: The Winter Soldier', 'Avengers: Age of Ultron', 'Captain America: Civil War', 'Doctor Strange', 'Spider-Man: Homecoming', 'Black Panther', 'Captain Marvel', 'Avengers: Endgame', 'Black Widow', 'Shang-Chi and the Legend of the Ten Rings', 'Eternals', 'Spider-Man: No Way Home', 'Doctor Strange in the Multiverse of Madness']","['Agents of S.H.I.E.L.D. (Daredevil)', 'Agents of S.H.I.E.L.D. (Iron Fist)', 'Agents of S.H.I.E.L.D. (The Defenders)', 'Agents of S.H.I.E.L.D. (The Punisher)', 'Agents of S.H.I.E.L.D. (Runaways)', 'Agents of S.H.I.E.L.D. (The Falcon and The Winter Soldier)', 'Agents of S.H.I.E.L.D. (Loki)', 'Agents of S.H.I.E.L.D. (What If...?)', 'Agents of S.H.I.E.L.D. (Hawkeye)', 'Agents of S.H.I.E.L.D. (Moon Knight)', 'Agents of S.H.I.E.L.D. (Ms. Marvel)']","['Iron Man: Fast Friends', 'Iron Man: Security Measures', 'Iron Man: I Am Iron Man!', 'Iron Man 2: Nick Fury: Director of S.H.I.E.L.D.', 'Iron Man 2: Public Identity', 'Iron Man Royal Purple Custom Comic', ""The Avengers Prelude: Fury's Big Week"", 'The Avengers: Iron Man Mark VII', 'The Avengers Prelude: Black Widow Strikes', 'The Avengers: The Avengers Initiative', 'Iron Man 3 Prelude', 'The Avengers Adaptation', 'Captain America: Civil War Prelude', 'Doctor Strange Prelude', 'Doctor Strange Prelude - The Zealot', 'Doctor Strange: Mystic Apprentice', 'Spider-Man: Homecoming Prelude', 'Avengers: Infinity War Prelude', 'Captain Marvel Prelude', 'Spider-Man: Far From Home Prelude', 'Black Widow Prelude', 'Eternals: The 500 Year War']",,,,
