characterId,name,realName,gender,status,dob,dod
1,A'Lars,A'Lars,Male,Unknown,,
2,A. Kennedy,A. Kennedy,Male,Alive,,
3,A.I.M. President,,Male,Unknown,,
4,Aadam,Aadam,Male,Deceased,,2025
5,Aamir Khan,Aamir Khan,Male,Alive,,
6,Aaron (Apple Inc.),Aaron,Male,Alive,,
7,Aaron (Baby),Aaron,Male,Alive,,
8,Aaron James,Aaron James,Male,Alive,,
9,Aaron Martinez,Aaron Martinez,Male,Deceased,1997,2018
10,Abby,Abby,Female,Alive,,
11,Abby Rose,Abby Rose,Female,Alive,,
12,Abdallah El-Faouly,Abdallah El-Faouly,Male,Deceased,,
13,Abe Brown,Abraham Brown,Male,Alive,,
14,Abe Yasumi,安倍泰美 (Abe Yasumi),Female,Alive,"July 15, 1988",
15,Abel,Abel,None (masculine voice and appearance),Deceased,,"July 4, 1976"
16,Abilash Tandon,Abilash Tandon,Male,Alive,"July 14, 1986[2]",
17,Abilisk,Abilisk,,Deceased,,October 2014[1]
18,Abner Brody,Abner Brody,Male,Unknown,,
19,Abner Croit,Abner Croit,Male,Unknown,,
20,Abomination,Emil Blonsky,Male,In Custody,1970–1971[2],
21,Abraham Erskine,Abraham Erskine,Male,Deceased,"September 14, 1869[2]","June 22, 1943"
22,Abraham Erskine/Super Soldier Peggy Carter,Abraham Erskine,Male,Deceased,"September 14, 1869","June 22, 1943"
23,Absorbing Man,Carl Creel,Male,Deceased,,Spring 2018
24,Abu Bakaar,Abu Bakaar,Male,Unknown,,
25,Accountant,,Male,Alive,,
26,Accuser,,Male,Alive,,
27,Ace Peterson,Ace Peterson,Male,Alive,,
28,Adam,Adam,Male,Alive,,
29,Adam Cooper,Adam Cooper,Male,Deceased,,
30,Adam Cross,Adam Cross,Male,Deceased,,Late 2013
31,Adam Goldstein,Adam Michael Goldstein,Male,Alive,,
32,Adam Warlock,Adam,Male,Unborn,,
33,Adamo Dioli,Adamo Dioli,Male,Deceased,,Early 2015
34,Adina Johnson,Adina Johnson,Female,Alive,,
35,Adina Johnson/Tandy Bowen's Perfect Life,Adina Johnson,Female,Alive,,
36,Adolf Hitler,Adolf Hitler,Male,Deceased,,1945
37,Adolf Hitler (Fiction),Adolf Hitler,Male,Fictional,,
38,Adolf Hitler/Super Soldier Peggy Carter,Adolf Hitler,Male,Unknown,,
39,Ador,Ador,Male,Alive,,
40,Adria,Adria,Female,Deceased,,Jul-95
41,Adrian (Trainer),Adrian,Male,Alive,,
42,Adrian (Wizard),Adrian,Male,Alive,,
43,Adrian Blanc,Adrian Blanc,Male,Deceased,,Fall 2015
44,Adrian Younge,Adrian Younge,Male,Alive,,
45,Adriel,Adriel,None (masculine appearance & voice),Alive,,
46,Agamotto,Agamotto,Male,Unknown,,
47,Agamotto/Corrupted Doctor Strange,Agamotto,Male,Unknown,,
48,Agatha Harkness,Agatha Harkness,Female,Alive,,
49,Agent (Code 13),,Female,Alive,,
50,Agent 33,Kara Palamas,Female,Deceased,,"May 9, 2015"
51,Agent 60,Kuro Chin,Male,Alive,,
52,Agnes Kitsworth,Agnes Kitsworth,Female,Deceased,,May-17
53,Agon,Agon,Male,Deceased,,1997
54,Ahmad,Ahmad,Male,Deceased,,Late 2020/2021
55,Ahmad Zubair,Ahmad Zubair,Male,Deceased,,2014
56,Ahmed,Ahmed,Male,Deceased,,Nov-09
57,Aida,Artificially Intelligent Digital Assistant,Female,Destroyed (first LMD)Destroyed (second LMD)Deceased (organic form),December 2016[1] (first LMD)March 2017[3] (second LMD)May 2017[9] (organic form),"April 13, 2017 (first LMD) May 2017 (second LMD)May 2017 (organic form)"
58,Aiden Julius,Aiden Julius,Male,Alive,,
59,Aiko,Aiko,Female,Alive,,
60,Ainsley,Ainsley,Female,Alive,,
61,Aisha,Aisha,Female,Deceased,,Summer 1947[1]
62,Aisha Axton,Aisha Axton,Female,Alive,,
63,Aito,Aito (愛斗),Male,Deceased,,Early 2015
64,AJ Wilson,AJ Wilson,Male,Alive,,
65,Ajak,Ajak,Female,Deceased,,Late 2023
66,Akari Minoru,Akari Minoru,Female,Deceased,,
67,Akari Minoru/Dark Dimension,Akari Minoru,Female,Unknown,,
68,Akela Amador,Akela Amador,Female,Alive,"June 14, 1983[2]",
69,Akihiko,明彦 (Akihiko),Male,Deceased,,Fall 2023
70,Alantutorial,,Male,Alive,,
71,Albert (Jeweler),Albert,Male,Alive,,
72,Albert (Royal Al Moving),Albert,Male,Alive,,
73,Albert Rackham,Albert Rackham,Male,Deceased,,2014
74,Albert Thompson,Albert Thompson,Male,Deceased,,Apr-15
75,Aldrich Killian,Aldrich Killian,Male,Deceased,,"December 25, 2012"
76,Alejandro Castillo,Alejandro Castillo,Male,Deceased,,Early 2014
77,Aleta Ogord,Aleta Ogord,Female,Alive,,
78,Alex Doobin,Alex Doobin,Male,Alive,,
79,Alex Mind,,Male,In Custody,,
