locationId,name,state,continent
1,10th Precinct Police Station,"New York City, New York",North America
2,1337 Connect,"Munich, Germany",Europe
3,15th Precinct Police Station,"311 W 37th St., New York City, New York",North America
4,29th Precinct Police Station,"Harlem, New York City, New York",North America
5,30 Rockefeller Plaza,"Rockefeller Center, New York City, New York",North America
6,30 St Mary Axe,"London, England",Europe
7,4th Precinct Police Station,"New York City, New York",North America
8,7th Street Metro Center Station,"Los Angeles, California",North America
9,A'askavariia,,
10,A.B.C. Chinese Restaurant,"Karachi, Sindh",Asia
11,A.S. Memorial Medical Center,"Los Angeles, California",North America
12,Aadam's House,"Jersey City, New Jersey",North America
13,Aakon,,
14,Aaron's Market,United States of America,North America
15,Aaru,Duat,
16,Abandoned Building,"New York City, New York",North America
17,Abandoned Warehouse,"New York City, New York",North America
18,Abe Lebewhol Park,"New York City, New York",North America
19,Abidjan,Ivory Coast,Africa
20,Accra,Ghana,Africa
21,Actiniaria Dimension,Multiverse,
22,Addis Ababa,Ethiopia,Africa
23,Aden,Yemen,Asia
24,Adrian Toomes' Headquarters,"New York City, New York",North America
25,Afghanistan,Earth,Asia
26,Africa,Earth,
27,Afterlife,Nepal,Asia
28,Aix-en-Provence,France,Europe
29,Ajak's Homestead,"South Dakota, United States of America",North America
30,Akron,"Ohio, United States of America",North America
31,Al and Cam's Arcade,"Duxbury, Massachusetts",North America
32,Al-Kut,Iraq,Asia
33,Alabama,United States of America,North America
34,Aladna,,
35,Alamogordo,"New Mexico, United States of America",North America
36,Alaska,United States of America,North America
37,Albania,Earth,Europe
38,Albany,"New York, United States of America",North America
39,Albert Thompson's Apartment,"New York City, New York",North America
40,Alberta,Canada,North America
41,Albuquerque,"New Mexico, United States of America",North America
42,Alcatraz Federal Penitentiary,"Alcatraz Island, California",North America
43,Alcatraz Island,"California, United States of America",North America
44,Aldrich Killian's Mansion,"Miami, Florida",North America
45,Aleppo,Syria,Asia
46,Aleppo Citadel,"Aleppo, Syria",Asia
47,Alexander Hamilton Bridge,"New York City, New York",North America
48,Alexander Pierce High School,"Washington, D.C.",North America
49,Alexander Pierce's Residence,"Washington, D.C.",North America
50,Alexandria (Egypt),Egypt,Africa
51,Alexandria (Virginia),"Virginia, United States of America",North America
52,Alfheim,Nine Realms,
53,Algeria,Earth,Africa
54,Algiers,Algeria,Africa
55,Alhambra,"California, United States of America",North America
56,Ali Al Salem Airbase,Kuwait,Asia
57,Alias Investigations Office,"485 W 46th Street[1], New York City, New York",North America
58,Allentown,"Pennsylvania, United States of America",North America
59,Alpha Star Icarus,,
60,Alt New York,Multiverse,
61,Althing,Asgard,
62,Alya,,
63,Amanzi Kwakhona Umlambo,Wakanda,Africa
64,Amazon Rainforest,BoliviaBrazilColombiaEcuadorGuyanaPeruSurinameVenezuela,South America
65,Ambergris Caye,Belize,North America
66,Amesbury,England,Europe
67,Amman,Jordan,Asia
68,Amsterdam,Netherlands,Europe
69,Ana Helstrom's Auction House,"San Francisco, California",North America
70,Ana's House,,
71,Ancient Village,Ta Lo,
72,Andover,"Massachusetts, United States of America",North America
73,Andrew Brandt's Apartment,"New York City, New York",North America
74,Angola,Earth,Africa
75,Ankara,,
76,Ann Arbor,"Michigan, United States of America",North America
77,Annapolis,"Maryland, United States of America",North America
78,Antarctica,Earth,
79,Anvil Headquarters,"New York City, New York",North America
80,Anvil Studios,"Los Angeles, California",North America
81,Anvil Training Facility,"New York City, New York",North America
82,Anwar Grocery,"New York City, New York",North America
83,Anzhou,China,Asia
84,Apartment 412,"10th and 54th St., New York City, New York",North America
