organisationId,name,status,headquarters
1,10 News,Active,
2,107th Infantry Regiment,Disbanded,"Latham, New York"
3,4 News,Active,
4,5 Albany,Active,
5,6 New York,Active,
6,92nd Infantry Regiment,Defunct,
7,A.I.M.,Unknown,
8,A.R.M.O.R.,Unknown,
9,AccuTech,Active,California
10,Action News,Active,
11,Adrian Toomes' Crew,Defunct,
12,ADS News,Active,
13,Advanced Threat Containment Unit,Active,Endotex Labs
14,Afghan Insurgents,Unknown,
15,Afghan National Police,Active,
16,African American College Alliance,Active,
17,Air National Guard,Active,
18,Albanian Syndicate,Inactive,
19,Aleta Ravager Clan,Active,Aleta Ogord Warship
20,Alias Investigations,Active,Alias Investigations Office
21,Alien Abductee Anonymous,Active,
22,Almeida Concrete Pumping and Equipment,Active,
23,American Journal of Experimental Medicine,Active,
24,Anvil,Disbanded,Anvil Headquarters
25,Architectural Designer,Active,
26,ARN,Active,
27,Aryan Brotherhood,Active,
28,Asano Robotics,Active,Yakatomi Building
29,ATF,Active,"Washington, D.C."
30,Atreus Plastics,Merged with Glenn Industries,
31,Attilan Rebel Movement,,
32,Attilan Royal Guard,Active,"Attilan, Moon"
33,Australian Threat Unit,Active,
34,Avenger Tours,,
35,Batesville Fire Department,Active,
36,Baxter Foundation,Active,Illuminati Headquarters
37,Behavior Health Department,Active,
38,Berserker Army,Unknown,Asgard
39,Berserkers,Defunct,
40,Beverly Hills Tribune,Active,
41,Big Apple News,Active,
42,Bishop Security,Active,Bishop Security Headquarters
43,Blip Sync,Active,
44,Blood,Active,
45,Border Tribe,Active,Border Village
46,Border Tribe/Ravager T'Challa,Active,
47,Brand Corporation,Active,
48,British Armed Forces,Active,
49,British Armed Forces/Super Soldier Peggy Carter,Active,
50,British Post,Active,
51,Brooklyn Comet,Active,
52,Brooklyn Suicide Prevention Center,Active,
53,Brooklyn Support Group,Active,
54,Brown Jovi,Active,
55,Buzzcom,Active,
56,Cadre,Active,
57,California (newspaper),Active,
58,California Experience,Active,
59,Callisto Aerospace,Active,Callisto Aerospace Control Center
60,Carbone Crime Family,Active,Rosalie Carbone's Office
61,Celeb Seeker,Active,
62,Channel 21 News,Active,
63,Channel 65 News,Active,
64,Channel 8,Active,
65,Charlie-27 Ravager Clan,Active,Charlie-27 Warship
66,Chaste,Defunct,Wall of the Chaste
67,Cheng Consulting Management,,Cheng Consulting Management Offices
68,Chicago Police Department,Active,
69,Chinatown Crew,Defunct,Chinatown Crew Headquarters
70,Choctaw,Active,
71,Church of Gibborim,Active,Church of Gibborim Executive Office
72,CIA,Active,CIA Headquarters
73,CIA/History Altered by Chronicoms,Active,
74,Clandestines,Defunct,Aadam's House
75,Clark County Tribune,Active,
76,CNB,Active,
77,CND,Active,
78,Colon Crime Family,Inactive,Colon's Gym
79,Computational Services Inc.,Active,Computational Services Inc. Headquarters
80,Confederacy,Defunct,
81,Confederated Global Investments,Inactive,
82,Congolese Army,Active,
83,Coquelicot,Active,
84,Cordco,Active,
85,Council of Godheads,,Golden Temple
86,Council of Nine,Defunct,"Arena Club, Los Angeles"
87,Crescent City Pathways,Active,
88,Crips,Unknown,
89,Crisis Intervention Resources,Active,
90,Cross Technologies,Defunct,
91,CUV,Active,
92,Cybertek,Active,Cybertek Corporate Headquarters
93,Daisy Clover,Active,Daisy Clover Milk Factory
94,DARPA,Active,
95,DEA,Active,"Arlington, Virginia"
96,Declan Research,Active,Declan Research Facility
97,Deke Shaw's Company,Unknown,Deke Shaw's Company's OfficeLighthouse (temporarily)
98,Department H,Active,
99,DGSE,Active,"Paris, France"
100,Diablos,Inactive,Washington Heights
101,Disciples of Ammit,Unknown,
102,District of Columbia Support Group,Active,
103,Dogs of Hell,Unknown,Dogs of Hell's Club (New York)
104,Domani Architecture,Active,
105,Donovan and Partners,Active,
106,Dragon Raiders,,
107,Drug Identification,Active,
108,Duncan + Dotter Design,Active,Duncan + Dotter Design Office
109,Eaglestar,Active,
110,East Brook,Active,East Brook Building
111,Eastview Sheriff's Office,Active,
112,Echidna Capital Management,Inactive,
113,Edison Electric,Active,
114,Egyptian Patrol Agency,Active,
115,Einherjar,Active,Asgard (formerly)New Asgard
116,Einherjar/Avengers Assassinated,Active,
117,Einherjar/Party Prince Thor,Active,
118,El Verdadere,Active,
119,Enclave,Dissolved,
120,Ennead Council,,Great Pyramid of Giza
121,EuroM.I.N.D.,Unknown,
122,Exolon Monks,Defunct,
123,F.E.A.S.T.,Active,F.E.A.S.T. Community Center
124,Fagan Corners Police Department,Active,
125,FBI,Active,"Washington, D.C."
126,FBX,Active,
127,Fifth Street Locos,Defunct,
128,Fire Department of New York City,Active,
129,Flag Smashers,Defunct,Flag Smashers Hideout
130,Folgen Industries,,
131,Food Connoisseur,Active,
132,Franklin Chemical,Inactive,
133,French Foreign Legion,Active,"Aubagne, France"
134,FXN,Active,
135,G'rek Raiders,Active,
136,G.U.A.R.D.,,
137,Genetic Council,Defunct,Attilan
138,Geoffrey Wilder Construction Inc.,Active,
139,Glamorous,Active,
140,Glenn Industries,Active,
141,Global Incorporated,Active,Dubai
142,Global Repatriation Council,Active,
143,Global USA,Active,
144,Gluten Free Organic Wraps,,
145,Gnucci Crime Family,Active,Linello's
146,Golden Tigers,Active,Golden Tigers' HideoutGolden Tigers' Nightclub
147,Golden Tribe,Active,
148,Golden Tribe/Ravager T'Challa,Active,
149,"Goodman, Kurtzberg & Holliway",Active,
150,Gorani Insurance,Active,
151,Gothite Industries,Active,
152,Greek Mob,Active,
153,Greenwich Village Ledger,Active,
154,"Greg Pressfield, ESQ. Attorney at Law",Inactive,"Greg Pressfield, ESQ. Law Office"
155,Grunhel's Fleet,Defunct,
156,GSG 9,Active,
157,GT Agrochemical,Active,
158,H.A.M.M.E.R.,Unknown,
159,Hammer Industries,Active,Hammer Industries Headquarters
160,Hammond Labs,Active,
161,Hancock Transport,Active,
162,Hand,Defunct,Midland CircleHand Compound
163,Heka Priests,,
164,Hogarth & Associates,Active,Hogarth & Associates Law Office
165,"Hogarth, Chao & Benowitz",Active,"Hogarth, Chao & Benowitz Office"
166,Hollywood Records,,
167,Honolulu Police Department,Active,"Honolulu, Hawaii"
168,House of Kasius,Active,
169,House of Kasius/Destroyed Earth,Active,Lighthouse
170,Hudson Rubbish & Disposal,Active,
171,Humans First Movement,Active,
172,HYDRA,Defunct,HYDRA Headquarters (formerly)HYDRA Research Base (formerly)Schoonebeek Oil Field (formerly)HYDRA Preparatory Academy (formerly)
173,HYDRA/Age of Ultron,Defunct,
174,HYDRA/Camp Lehigh Time Heist,Active,
175,HYDRA/Framework,Deleted,Triskelion
176,HYDRA/History Altered by Chronicoms,Unknown,
177,HYDRA/HYDRA World,Active,
178,HYDRA/New York Time Heist,Active,
179,HYDRA/Super Soldier Peggy Carter,Unknown,
180,IGH,Defunct,Industrial Garments & Handling Facility (formerly)
181,Imagis,Active,
182,Innovator Magazine,Active,
183,Institute for Infectious Diseases,Active,IFID Headquarters
184,Intelligencia,Active,
185,Interpol,Active,"Lyon, France"
186,Irie Taxi,Active,Irie Taxi Garage
187,Iron Gang,Defunct,
188,ISIS,Active,Syria
189,Isodyne Energy,Dismantled,Isodyne Energy Headquarters
190,ITPD,Active,
191,Jabari Tribe,Active,"Gorilla City, Jabari Land, Wakanda"
192,Jersey City Police Department,Active,
193,Jigsaw's Crew,Defunct,Valhalla
194,Joint Counter Terrorist Centre,Active,Joint Counter Terrorist Centre Building
195,Jurnalul de Lugoj,Active,
196,Kaxton Industries,Active,
197,Keeper Demons,,
198,Keibler's Circus,Active,
199,KEJH,Active,
200,KEJT,Active,
201,Keoki's Cab,Active,
202,"Kester, Dyer and Rathman LLP",Active,
203,KGB,Dissolved,
204,KGB/Age of Ultron,Dissolved,
205,KHEJ,Active,
206,Kilgrave Victim Support Group,Active,
207,Kirschner and Brown,Active,Kirschner and Brown Building
208,Kitchen Cab,Absorbed into Veles Taxi,
209,Kitchen Hellions,Active,
210,Kitchen Irish,Inactive,Burren Club
211,KIWH,Active,
